,Model,Dataset,Accuracy,Loss,Train-Accuracy,Train-Loss
0,ResNet18,spectrograms_16,0.9332220367278798,0.2242753528058529,0.9748148148148148,0.08252633553655708
1,ResNet18,spectrograms_8,0.8964941569282137,0.3310597151517868,0.9666666666666667,0.09693286808974602
2,ResNet18,spectrograms_deNoised_16,0.8948247078464107,0.24879179149866104,0.9792592592592593,0.0708701515898985
3,ResNet18,spectrograms_deNoised_8,0.9165275459098498,0.25553433895111083,0.9740740740740741,0.07977237133857082
4,ResNet18-Pretrained,spectrograms_16,0.9215358931552587,0.2673707574605942,0.9814814814814815,0.05773455325294943
5,ResNet18-Pretrained,spectrograms_8,0.9081803005008348,0.2390480548143387,0.9753703703703703,0.0747335566317334
6,ResNet18-Pretrained,spectrograms_deNoised_16,0.8647746243739566,0.3684923484921455,0.9551851851851851,0.13305821300429457
7,ResNet18-Pretrained,spectrograms_deNoised_8,0.9265442404006677,0.22804997190833093,0.9642592592592593,0.10604276069823433
8,AlexNet,spectrograms_16,0.8530884808013356,0.33360306173563004,0.8548148148148148,0.36030543095925277
9,AlexNet,spectrograms_8,0.8681135225375626,0.34532556533813474,0.92,0.2239640475195997
10,AlexNet,spectrograms_deNoised_16,0.8514190317195326,0.41634612828493117,0.9257407407407408,0.2084609502378632
11,AlexNet,spectrograms_deNoised_8,0.8681135225375626,0.35984335243701937,0.9112962962962963,0.23995675321887522
12,AlexNet-Pretrained,spectrograms_16,0.8113522537562604,0.4378746420145035,0.8283333333333334,0.3926284795298296
13,AlexNet-Pretrained,spectrograms_8,0.8247078464106845,0.4462884485721588,0.8240740740740741,0.407106010352864
14,AlexNet-Pretrained,spectrograms_deNoised_16,0.8280467445742905,0.4391751021146774,0.8683333333333333,0.308614775187829
15,AlexNet-Pretrained,spectrograms_deNoised_8,0.8113522537562604,0.47425622045993804,0.8427777777777777,0.37550608480677883
